ID,SMILES,DATA
124,COc1cc(c2c(c1O)cccn2)[N+](=O)[O-],4.021
125,C(CO)CSCCO,4
126,Cc1cc(c(cc1O)c2cc(c(cc2O)C)O)O,5.966
127,c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O)O)O,4
128,COc1cc(ccc1O)/C=C/C(=O)O,4
129,Cc1c(c(=O)cco1)O,4
130,c1cc(ccc1C(=O)N)[N+](=O)[O-],4
131,Cc1cc(cc([o+]1)C)SCC(=O)c2ccc(cc2)Br,4.796
132,CC(C)C1(CCC2C3(CCCC(C3CC(C2(C1Cl)Cl)Cl)(C)C(=O)O)C)Cl,4.642
133,CC1CCCC(C1)(CC(=O)O)CC(=O)O,4
134,c1ccc2cc(ccc2c1)CCCC(=O)O,4
135,c1ccc(cc1)CC(=O)O,3.173
136,CNC=O,2
137,Cc1ccc(c2c1oc-3c(c(=O)c(c(c3n2)C(=O)N[C@H]4[C@@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]5CCCN5C(=O)[C@H](NC4=O)C(C)C)C)C)C(C)C)C)N)C)C(=O)N[C@H]6[C@@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C,9.491285714
138,CN(C)c1c2c(ncn1)n(cn2)C3C(C(C(O3)CO)NC(=O)[C@H](Cc4ccc(cc4)OC)N)O,6.839
139,O[As]=O,4.807
140,CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl,5.478
141,CCc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl,4
142,Cn1cc(cc1C(=O)Nc2cc(n(c2)C)C(=O)NCCC(=N)N)NC(=O)CNC(=N)N,4
143,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],4
144,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(=O)nc([nH]3)N,4
145,CC1(N=C(N=C(N1c2ccc(cc2)Cl)N)N)C,4
146,c1ccc(cc1)C2NC(=NC(=N2)N)Nc3ccccc3,4
147,CC1(N=C(N=C(N1c2ccc(c(c2)Cl)Cl)N)N)C,5.47
148,CC1(N=C(N=C(N1c2cccc(c2)Cl)N)N)C,5.425
149,CCCCCCC1N=C(N=C(N1c2ccc(cc2)Cl)N)N,5.331
150,CC1(N=C(N=C(N1c2cccc(c2)Br)N)N)C,5.65
151,CCCCCCC1N=C(N=C(N1c2cccc(c2)Cl)N)N,6.355
152,c1cc(ccc1CCCC(=O)O)N(CCCl)CCCl,5.623
153,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,6.992
154,CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,5.152
155,CN(C)/N=N/c1ccccc1,4.657
156,c1ccc(cc1)C(c2ccccc2)SC(=N)N,4.978
157,CC(=O)Nc1cc(ccc1O)[As](=O)(O)O,4
158,c1c(c(cc(c1O)N2CC2)O)N3CC3,6.255
159,c1ccc2c(c1)ccc(n2)/C=C/c3ccc(cc3)Cl,6.294
160,c1ccc2c(c1)nc(s2)NN,4.455
161,CN(C)c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)[N+](=O)[O-],4
162,c1ccc(cc1)/C=C\2/C(=O)OC(=N2)c3ccccc3,4.609
163,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5)O,4.749
164,CC1C2C=CC3(CO3)C(O2)(OC1C(C)/C=C(\C)/C=C\C(=C/4\C(=O)C(N(C4=O)C5CCC(C(O5)C)O)C(C)C(=O)NC)\O)C,4
165,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(/C(=C\C=C/C=C/C=C/C=C/C(C(OC1=O)C)O)/C)O)O)O)O)O)O)O)O,4.1505
166,CC(CCCN(CCCl)CCCl)Nc1c2ccc(cc2nc3c1cc(cc3)OC)Cl,7.213
167,CCCCCCCCCCCCSC(=N)N,5.076
168,CCCCCCCCCCCCS/C(=N\C)/NC,5.581
169,CCCCCCCCCCCCCCCCS/C(=N\CC)/NCC,5.781
170,c1cc2c(cc(c(c2nc1)O)I)Cl,5.724
171,CCCCCC(CCCCC)(CCCCCCCCC1=C(C(=O)c2ccccc2C1=O)O)O,5.213
172,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2CNc3c(c(nc(n3)N)O)N2C=O,3.903
173,CCCCCCN(CCCCCC)CCCNc1c2ccccc2ccn1,5.607
174,c1cc(ccc1/C=C/C=C/C(=O)NC(=N)NC#N)Cl,4
175,CCN(CC)c1ccc(cc1)NC(c2ccccc2)C(=O)c3ccccc3,5.64
176,CCC1(C(=O)NC(=O)NC1=O)CCSC(=N)N,4
177,Cc1ccc(cc1)S(=O)(=O)Nc2cc(=O)[nH]c3c2CCC3,4
178,Cc1ccc(cc1)S(=O)(=O)Oc2cc(c3c(n2)CCC3)N,4.193
179,CON,4
180,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Br,5.748
181,c1cc(sc1Cl)[Hg]Cl,6.42
182,c1cc2c(ccc(c2nc1)O)N=O,6.214
183,c1cc(c(cc1Cl)C(c2cc(ccc2O)Cl)C(Cl)(Cl)Cl)O,5.495
184,c1cc[n+](cc1)C2c3ccccc3C(c4c2cccc4)[n+]5ccccc5,4.97
185,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,4.113
186,c1ccnc(c1)c2cccc(n2)c3ccccn3,6.603
187,c1cc2cccnc2c(c1)O,6.292
188,CC(=O)Nc1c-2sscc2n(c1=O)C,6.55
189,C/C(=C\c1ccc(c(c1)Cl)Cl)/[N+](=O)[O-],5.791
190,c1cc(c(cc1Cl)O)Cc2ccc(cc2O)Cl,4.802
191,c1c[nH]c(=O)[nH]c1=O,3.505
192,c1c(=O)cc(oc1C(=O)O)C(=O)O,4
193,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,4.78
194,c1cc(c(cc1Cl)Sc2cc(ccc2O)Cl)O,5.587
195,C1COCCN1C(=S)S,6.279
196,CC1=CC(=O)c2ccccc2C1=O,5.693
197,c1cc(ccc1/C=C/c2ccc(cc2)O)O,6.659
198,c1ccc2c(c1)ccc(c2/N=N/c3c4ccccc4c(cc3O)S(=O)(=O)O)O,4.831
199,c1ccc(cc1)C(C(=O)c2ccccc2)Nc3cccc(c3)C(=O)O,4
200,CN(C)c1ccc(cc1)/C=C/c2ccnc3c2cccc3,5.345
201,C[n+]1c(ccc2c1cccc2)/C=C/c3ccc(cc3)N(C)C,5.781
202,C[n+]1ccc(c2c1cccc2)/C=C/c3ccc(cc3)N(C)C,5.722
203,CCN(CC)c1ccc(cc1)/C=C/c2ccnc3c2cccc3,4
204,c1cc2ccc3cccnc3c2nc1,5.73
205,c1cc(ccc1C(c2ccc(cc2)[N+](=O)[O-])Br)[N+](=O)[O-],5.677
206,Cc1ccc2ccc3ccc(nc3c2n1)C,6.23
207,Cc1ccnc2c1ccc3c2nccc3C,6.442
208,c1ccc(cc1)NC2=C(C(=O)c3ccccc3C2=O)Cl,5.625
209,CC(Cc1ccc(c(c1)O)O)C(C)Cc2ccc(c(c2)O)O,5.359
210,c1ccc2cc(ccc2c1)C(=O)CSc3nc4ccc(cc4s3)[N+](=O)[O-],4.073
211,c1ccc2c(c1)cccc2/N=N/c3c4ccc(cc4cc(c3O)S(=O)(=O)O)S(=O)(=O)O,4
212,c1ccc2c(c1)c(ccc2S(=O)(=O)O)/N=N/c3c4ccc(cc4cc(c3O)S(=O)(=O)O)S(=O)(=O)O,4
213,c1ccc2c(c1)c(ccc2S(=O)(=O)O)/N=N/c3c(ccc4c3c(cc(c4)S(=O)(=O)O)S(=O)(=O)O)O,4
214,CCCCCCCCCc1cc[n+](cc1)CC(=O)c2ccc(cc2)[N+](=O)[O-],5.71
215,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O,8
216,CN1CCCC(C1)OC(=O)C(c2ccccc2)c3ccccc3,4.13
217,Cc1ccc(cc1)S(=O)(=O)Nc2cccc3c2[nH]cnc3=O,4.43
218,CCN(CCCC(C)Nc1ccnc2c1ccc(c2)Cl)CCO,4
219,CCN(CC)CC(c1cc(nc2c1ccc(c2)Cl)c3ccc(cc3)Cl)O,5.599
220,CC1(c2ccccc2[N+](=C1/C=C/c3ccc(cc3)N(C)CCCl)C)C,6.822
221,CC1(c2ccccc2[N+](=C1/C=C/c3c4ccccc4n(c3c5ccccc5)C)C)C,5.928
222,c1cc(ccc1/C=N/N=c\2/[nH]c3ccc(cc3s2)[N+](=O)[O-])O,5.485
223,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCSC(=N)N,5.701
224,c1cc(c(cc1C(=O)c2ccc(c(c2)Br)N)Br)N,6.316
225,c1cc(c(cc1Br)/C=C/C(=O)/C=C\c2cc(ccc2O)Br)O,6.55
226,CC(C)(C)COS(=O)OCC(C)(C)C,4
227,c1ccc(cc1)c2[nH]c(c(n2)C(=O)O)C(=O)O,6.239
228,c1cc(c(cc1Br)C(=O)c2cc(ccc2O)Br)O,4.647
229,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,4.462
230,c1cc(ccc1OCC(=O)O)OCC(=O)O,6.698
231,Cc1cc(c(cc1SC#N)C(C)C)O,5.455
232,c1ccc2c(c1)c3cc(ccc3n2N=O)[N+](=O)[O-],4.845
233,c1ccc2c(c1)C(=O)c3cc(cc(c3C2=O)OCC(C(C(C=O)O)O)O)CO,4
234,c1nnc(s1)N,2.994
235,c1ccc2c(c1)/C(=N/Nc3ccc(cc3[N+](=O)[O-])[N+](=O)[O-])/C(=O)N2,4
