EQ_ID,Energy,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
EQ50,-1.385635293,1.99622,2.00155,2.00883,2.03092,2.04629,2.07888,2.08257,2.09947,2.11421,2.15232,2.19261,2.20862,2.30877,2.31137,2.3858,2.46487,3.44848
EQ51,-1.381994817,2.01255,2.03477,2.05449,2.0577,2.05917,2.06259,2.07135,2.07286,2.07443,2.0746,2.10516,2.12641,2.21281,2.24815,3.34074,3.39072,3.40334
EQ52,-1.379330197,1.99369,2.00236,2.0092,2.03812,2.04765,2.05556,2.06242,2.06594,2.07727,2.1083,2.1221,2.12795,2.15489,2.27058,2.46453,2.97963,3.33465
EQ53,-1.378242139,2.00425,2.00469,2.01168,2.01451,2.03043,2.05688,2.11965,2.13276,2.16105,2.16713,2.19084,2.19984,2.31638,2.3208,2.35436,2.35566,3.90667
EQ54,-1.373620369,2.00865,2.01579,2.04141,2.04316,2.04317,2.04345,2.0679,2.13643,2.13879,2.14001,2.14391,2.16653,2.20435,2.30991,2.62497,2.94651,2.96665
EQ55,-1.372149229,2.00138,2.00138,2.02955,2.03289,2.03289,2.04178,2.04178,2.06055,2.06972,2.06974,2.16249,2.16915,2.16918,2.1733,2.56279,3.02562,3.47431
EQ56,-1.371133313,1.99661,2.03001,2.03093,2.03634,2.04005,2.05047,2.05623,2.06174,2.09211,2.0981,2.11795,2.11886,2.18794,2.66626,2.88689,3.40608,3.56424
EQ57,-1.3684969,1.99618,1.99658,2.01939,2.02924,2.05216,2.05457,2.05707,2.06697,2.07459,2.0822,2.11454,2.19544,2.46166,2.49208,2.51931,3.40198,3.46364
EQ58,-1.368401943,2.0253,2.05075,2.05342,2.05412,2.05539,2.05559,2.0576,2.06256,2.06346,2.09215,2.11107,2.12962,2.15631,2.27052,2.5674,2.57467,3.84719
EQ59,-1.368168822,1.97356,1.97803,1.98464,1.99128,1.99994,2.01421,2.0249,2.06711,2.11755,2.18163,2.19159,2.19631,2.29186,2.34807,2.68701,3.52419,3.57501
EQ60,-1.365983351,2.03306,2.0506,2.05774,2.05814,2.0636,2.06642,2.07701,2.07915,2.10215,2.11443,2.1167,2.1218,2.14017,2.17029,2.18985,2.90961,3.90489
EQ61,-1.365759058,2.00098,2.01102,2.04825,2.05874,2.07147,2.07763,2.13578,2.16367,2.20147,2.20546,2.21294,2.26599,2.29384,2.31586,2.53576,3.04632,3.4748
EQ62,-1.365252073,1.97206,1.98178,2.00474,2.01762,2.02167,2.05329,2.06134,2.13221,2.17248,2.19585,2.24084,2.26735,2.30106,2.38004,2.50053,2.9984,3.43413
EQ63,-1.364695272,2.05547,2.06518,2.07284,2.07748,2.08672,2.09064,2.09767,2.12146,2.12616,2.14817,2.16765,2.19784,2.23075,2.70998,2.95015,3.34971,3.54707
EQ64,-1.362819216,2.02663,2.0275,2.04777,2.06269,2.06564,2.0691,2.0727,2.07502,2.08986,2.13663,2.17129,2.21854,2.41431,2.47086,2.48916,2.60249,3.58788
EQ65,-1.362386086,2.04808,2.0481,2.04882,2.04886,2.0626,2.07901,2.1047,2.10475,2.11168,2.11168,2.18161,2.18173,2.2047,2.20471,2.47124,2.50797,3.35838
EQ66,-1.361937784,2.01607,2.0369,2.04952,2.05289,2.05372,2.06761,2.10098,2.11086,2.11734,2.13054,2.13931,2.14725,2.2191,2.30651,2.57321,3.44266,3.49633
